-1.0 1:-0.3019814339646575 2:0.11577044939042976 3:0.03648762418989689 4:0.08635607077533783 5:0.04964659773734914 6:6.797810796703441e-06 7:0.06002015333495614 8:0.023572746358080786 9:-0.03553038977728187 10:-0.022225108697724 11:-0.013984344654622774 12:-0.025386933821628217 13:0.005086415689435078 14:0.012067320343336966 
1.0 1:-0.288426590761226 2:0.1297964234484797 3:0.06067798738042052 4:0.06311081313257196 5:0.18738423822149405 6:-0.036118462472922726 7:0.0664541218096121 8:-0.07689541054879598 9:0.021016937532082672 10:-0.019048865442953852 11:-0.007438809744787346 12:0.010658113268720189 13:-0.007334076521403079 14:-0.016559081155082905 
-1.0 1:-0.18025694445899573 2:0.00627059174736924 3:0.1222845587187947 4:0.00060027279818642 5:0.08926877442267882 6:-0.010024643120626443 7:-0.0862554730307227 8:0.027536425566803392 9:-0.04872647634485738 10:-0.02065055067771445 11:0.0028429469497566516 12:0.01618792350826124 13:0.013366067761838385 14:0.007350708541360303 
-1.0 1:0.17112920159841366 2:0.17904973085197023 3:0.0306764363917458 4:0.1648538536091839 5:-0.15767055218535922 6:-0.1529682635018882 7:-0.05200844373577273 8:-0.03691626663959531 9:-0.04045869357320806 10:-0.059358974563114994 11:0.15984653185944137 12:0.054208099941822976 13:-0.10845108080166625 14:0.0174519581422609 
1.0 1:0.1479949656696964 2:-0.011128556552103711 3:-0.09887606367400106 4:0.036666051694076614 5:0.0599457009030103 6:0.03574486501299002 7:-0.04287409307827361 8:0.04407111343260662 9:0.007845545344712785 10:-0.017248848447940838 11:0.014708230253481513 12:-0.008462424828562758 13:0.025581126080479126 14:-0.001660024471690686 
1.0 1:0.11652649350630721 2:-0.0651642132047719 3:-0.11584422227049687 4:0.009241379906746018 5:0.08854115205774506 6:0.025779402279888508 7:-0.0011442302187119318 8:0.05487553243124712 9:0.0002558556184496484 10:0.01825892718024045 11:0.005103016664683043 12:-0.01977366223057578 13:0.03586600708788373 14:-0.01628476399486094 
1.0 1:0.24220519376514865 2:0.16914514228664299 3:0.032312959440552236 4:-0.006073667420204988 5:-0.0634919811094136 6:-0.07813894623708657 7:-0.05560391695873672 8:-0.015001849280193508 9:-0.03442077863804009 10:-0.0075539885524035025 11:-0.004476013853970923 12:-0.01787479600603712 13:-0.014520585907073377 14:-0.025935955611849672 
-1.0 1:-0.010883925674730989 2:-0.1693985629796351 3:0.12632036091156587 4:-0.09442474821980683 5:-0.04860147375858352 6:0.029544809151243183 7:-0.1309276126454979 8:0.011980814738439446 9:0.04074581036815635 10:-0.0013007182639841047 11:0.03893144319676003 12:-0.06133795666789042 13:0.010954809065630573 14:-0.0323760577654183 
-1.0 1:-0.31461831101765075 2:0.04886354287032341 3:-0.07565353459995146 4:-0.04495623536061788 5:-0.15689136663387573 6:0.08001666510495065 7:0.07241004140197775 8:0.05795017914976593 9:-0.03601848375075801 10:-0.02799929808985074 11:-0.02769657757801208 12:0.03774422749588606 13:-0.009537319500401818 14:-0.008741860509810885 
-1.0 1:-0.03335292578212751 2:-0.2251358727381294 3:0.16034583480272252 4:-0.038883082658722375 5:-0.08857010298883941 6:0.04033993541489937 7:-0.05892894287046564 8:-0.0022348725177833116 9:0.04136208255109826 10:-0.004053663165364582 11:-0.013617764977108841 12:0.0025085826781835255 13:-0.043003163666706555 14:0.009948957161571521 
1.0 1:-0.0242319134167222 2:-0.13193559551134412 3:0.07824421007662699 4:-0.08443843372756334 5:0.016581145271734463 6:0.011180626683947748 7:-0.05896571166551375 8:-0.014008240539504804 9:0.011382305837778859 10:0.001699338685520435 11:0.014230752774669066 12:0.014490439565367108 13:0.00565507807336595 14:-0.026356487654962846 
1.0 1:-0.04719616238004908 2:-0.10355505799663 3:0.10870493523264561 4:-0.09008860195986815 5:0.04820258693455563 6:0.039990771948829974 7:-0.03935498252768226 8:0.0021568595270376398 9:0.01105542479328484 10:0.008044383915955876 11:0.022451827356565764 12:0.010317745785420322 13:0.008545740183024602 14:-0.034723577661567466 
1.0 1:-0.21057874065586793 2:0.0026959109756165703 3:-0.06113975114763445 4:-0.033816516384763955 5:-0.05699025640030676 6:-0.004472362857843951 7:-0.050407239213292356 8:-0.04613780133951582 9:0.060154003217451374 10:0.07508678301114013 11:0.005743149914286538 12:0.022237229284661233 13:0.0029427476965007415 14:0.005572177963807679 
1.0 1:0.2516708429713682 2:0.08859915045970945 3:0.038787545112137826 4:0.05050777638206378 5:-0.012181123941765334 6:-0.036306313155195384 7:0.1371732561791297 8:0.05018045672796825 9:0.01532001216807367 10:0.005796654361327806 11:0.0414827571153604 12:-0.022337559888132467 13:0.006838386389581558 14:-0.05190208268410841 
1.0 1:0.04871241697105306 2:-0.1306192403955008 3:-0.08051034850247678 4:-0.07329343553366637 5:0.026017737676216426 6:-0.0035412728966471192 7:0.03660319578186967 8:-0.017216442849912347 9:-0.02582128682870541 10:0.01780360279285656 11:0.020268520921179763 12:0.02667401356139649 13:0.04732924075712663 14:0.017950285848135798 
-1.0 1:0.20376397733705198 2:0.1378470621524672 3:-0.08011359758639464 4:0.2501608325291259 5:-0.04451890143642618 6:0.07121069957636653 7:-0.13586165386650934 8:0.013738069832499289 9:0.10425809804542208 10:-0.0681029737943255 11:-0.0631498384334231 12:0.07688328655674653 13:0.026171350899189802 14:0.0818806318047936 
-1.0 1:-0.28226183011831846 2:0.027857593910089504 3:-0.08929397315332782 4:-0.12763434280424593 5:-0.1524653540699141 6:0.08524281333226198 7:0.017603613848591264 8:0.07169444471479977 9:-0.056867973223470425 10:-0.023942729487166116 11:-0.021985449873759288 12:0.04870497911480054 13:-0.007441023389073671 14:-0.0037953922073237466 
1.0 1:0.04683202894227609 2:-0.16529687601241871 3:-0.04072389514026453 4:0.005946059867597838 5:0.047222486717807086 6:-0.008318947059180376 7:0.11587656229134717 8:-0.03609843389180278 9:-0.019214033816521835 10:0.022456564740232093 11:-0.005696972963303487 12:0.016216284473524502 13:0.01424407750641045 14:0.03196341150711943 
1.0 1:0.23568962425768228 2:0.13829714532487414 3:0.0541270732081893 4:-0.2811447572327799 5:0.01095851349208023 6:-0.18155273437717434 7:-0.01681210197122029 8:0.12086495674426391 9:0.07019350865314697 10:0.016043281416060522 11:-0.045457056953988696 12:0.04028077895788236 13:0.029430225151104224 14:0.03039890123766825 
-1.0 1:0.21912014971768956 2:-0.01474275397987916 3:-0.17414991580036618 4:0.04077614221299827 5:0.1158528506651675 6:0.026736423230858487 7:-0.08853708563127127 8:0.13811935664434902 9:0.035997973325269494 10:0.004583918490676811 11:-0.018381084448735856 12:-0.03498275083695454 13:-0.03411252629017438 14:-0.05295590873540516 
1.0 1:0.3092825528577456 2:0.034105794503475124 3:-0.12911022698704128 4:-0.09559436506203503 5:0.16674014134833046 6:0.1462157031907468 7:-0.054545030828200544 8:0.1098899019252274 9:0.06258831229321102 10:-0.0004486179125332834 11:-0.020078465457973656 12:-0.034986399732006526 13:-0.01639508836320422 14:-0.04608018920841435 
-1.0 1:0.19636329015897694 2:-0.187165744602231 3:-0.21651142559824155 4:-0.1030073218169594 5:0.15846908422266506 6:-0.032615418762193406 7:0.026261014469913635 8:0.0752352744724956 9:-0.14290766792629672 10:0.07782678077361804 11:0.024676503600646812 12:-0.00956957452078993 13:-0.03703373528456328 14:0.011909427009919295 
1.0 1:-0.22506920362722063 2:0.0002003691789106499 3:-0.05618405871831272 4:0.03398817106690772 5:-0.07600730378927478 6:-0.008938120403695066 7:-0.0225518094419233 8:-0.04533221382293697 9:0.07404875200056292 10:0.09051850157511598 11:-0.005628966713481152 12:0.02017997583723398 13:-0.009089839360941553 14:-0.011305027169395708 
