-1.0 1:0.13759539239967475 2:-0.09150445268082437 3:-0.21398104755396471 4:0.09213876262112326 5:0.06745867498105575 6:-0.08516240567450162 7:-0.09672716459558017 8:0.10762618242776267 9:-0.06314531823050926 10:0.029009538034116683 11:-0.004374398184708486 12:-0.04017598859788464 13:-0.02048050683288411 14:-0.03421043394145447 15:0.013562133577341432 16:0.058231468854022 17:0.03458094126204409 18:-0.0008280441365319368 19:0.02197898516095153 20:0.02616342285946121 21:0.0128016217050839 22:0.03047723545904632 23:0.02657291368771445 24:0.005781264280593855 25:0.008947444329988018 
1.0 1:-0.2362606156550391 2:0.027008535573691966 3:-0.06647411846282274 4:0.013661320288336165 5:-0.05116981609586761 6:-0.04077492879660587 7:-0.07555290083028483 8:-0.06337266857558173 9:0.07311955968048897 10:0.06447502293644114 11:0.005669509152203819 12:0.020131737148155804 13:0.013399430978845463 14:-0.014466717342975768 15:-0.00613300388236222 16:0.017385215018571987 17:-0.013961471888096856 18:-0.01977581279657452 19:-0.007255869479778369 20:-0.0016378029390777017 21:-0.031525764223848486 22:-0.01616993452276884 23:-0.00030283806727352675 24:0.005130679532059935 25:-0.00882318925244114 
1.0 1:0.26127340345303673 2:0.11989553042180366 3:0.08471370007178111 4:-0.03963536642605154 5:-0.014110148132773476 6:-0.15151508186882193 7:0.11721317616002877 8:0.10514842885800145 9:0.06051010895572636 10:0.0012827970902377773 11:-0.01942930568691343 12:0.005998595452159519 13:0.02188612135052709 14:-0.01230614752330922 15:-0.03183196637296943 16:-0.03622874893287098 17:0.04307102848815596 18:0.00554555348060773 19:0.019252882609469887 20:-9.990793896491254e-05 21:-0.05678475752333251 22:0.00021286485027555146 23:0.020947191107659184 24:-0.07141097168834555 25:0.016043194111477033 
-1.0 1:-0.3231983697099017 2:0.1892653456872981 3:-0.15218650409280815 4:0.00154457400738673 5:-0.011101714830885498 6:-0.08220257766287353 7:-0.024392362094842975 8:-0.0791418676263457 9:0.06947841648803782 10:0.05409921109454594 11:0.02585257639152271 12:-0.05398188530953327 13:-0.0334746010487091 14:0.035971305050105325 15:-0.018886156345680277 16:-0.0027566387746179935 17:-0.02003621147989322 18:-0.009613843544259367 19:-0.059770783576423285 20:0.009145273372985756 21:0.006862017179969512 22:0.03781824476405317 23:-0.023748814362085 24:-0.04367694221802237 25:-0.053199717474533684 
-1.0 1:0.07337561633817881 2:-0.22984618261032508 3:0.030284841140138446 4:-0.11539765309089739 5:-0.004313481485584764 6:0.009897005885289864 7:-0.020529446114718387 8:-0.02602484263360094 9:0.029691636841543037 10:-0.03372799342045557 11:0.019488689866027115 12:-0.048020646218742524 13:0.0016585870340822904 14:-0.0017129411252338918 15:0.031588839975121574 16:0.004348201419401003 17:0.020644330460344404 18:-0.0012155384344174312 19:-0.02019641148112998 20:-0.006855931100416955 21:0.007647577842232299 22:0.005222342137134529 23:0.020083296135225828 24:-0.00644041772302387 25:0.005893578620329897 
1.0 1:-0.26800437224478235 2:0.08622853672482023 3:0.017687241924835142 4:-0.012610424454890398 5:0.05148865304714677 6:-0.0017398172231759706 7:0.01482131948816692 8:-0.0361220725490544 9:0.04003874804547784 10:0.03839438755833682 11:0.026225198237830802 12:-0.016894576634867556 13:-0.003943322673374574 14:0.05742223002493612 15:-0.02070044168895006 16:0.028979051025307206 17:0.04980509084794281 18:-0.028538299649693427 19:0.016024870188087844 20:0.013979364952154134 21:0.009370545033689448 22:0.0076615763779609575 23:-0.014056618509811531 24:0.008285072527386451 25:0.002267144679418672 
1.0 1:0.09132793625122948 2:-0.17739862745312637 3:-0.04705992452673147 4:-0.017128396387333735 5:0.08165188446873434 6:0.03452750532642581 7:0.03984370082767819 8:-0.004488610681448181 9:-4.3050978951702026e-05 10:0.029252009764911706 11:-0.031224021504669408 12:-0.010949313929911941 13:0.009088354482043131 14:-0.00473893499726657 15:0.009289605505087818 16:-0.030016775881200025 17:-0.031954818238611064 18:-0.022962076814654907 19:0.006577760976632235 20:-0.009281629218375389 21:-0.025657829146316844 22:-0.028608095596328993 23:-0.023180378256356028 24:0.004881917716852995 25:0.0005700407939245216 
-1.0 1:0.24137974049906008 2:0.10704983287694586 3:-0.08428287870496105 4:0.19201340517834073 5:-0.0032379976732572553 6:0.11460302213919968 7:-0.08736912458112012 8:-0.0174142771210794 9:0.03507656028013194 10:-0.015550144750637963 11:-0.07888327035711358 12:0.034805310192792566 13:0.0034422962240383548 14:0.05796784221277069 15:0.03861125581189048 16:-0.009587731033611819 17:0.03673249378720243 18:-0.0009528287455016124 19:-0.009716577158708977 20:-0.014207935880502138 21:-0.022346464918096214 22:-0.007317796135422749 23:-0.005263713771254834 24:-0.003769049418619357 25:0.015472832042471425 
1.0 1:0.25729799967152234 2:0.030800409960088135 3:-0.03635376810585296 4:-0.1397792974162387 5:0.07469901772621021 6:0.1190417380594013 7:0.018065850646633862 8:0.01535297831179272 9:-0.005723338975887995 10:0.012333511440894394 11:0.07578209923829035 12:-0.006100872642091051 13:0.02144928267676374 14:-0.03336837087432466 15:0.005927762436547746 16:0.022468778129833986 17:0.006300454670944179 18:-0.009443673293320584 19:-0.0031759615472574075 20:0.010863659095376992 21:0.02366918398525022 22:-0.026308937463703788 23:-0.03199279677398899 24:-0.01841017882730678 25:0.0184046637308769 
1.0 1:-0.28761385474520035 2:0.1201698200755279 3:-0.04562556375846198 4:0.04163815205436491 5:0.028945640513786335 6:-0.044985195821604325 7:0.018657189107508604 8:-0.05173991874562722 9:0.04010115965987773 10:0.02206118351340415 11:0.0029667122854959236 12:-0.040556964896565226 13:-0.015396803084098343 14:0.043162772717983834 15:-0.01213969167448031 16:0.03366218861292944 17:-0.01265406249921349 18:-0.007292839491094903 19:-0.0373396637546893 20:-0.01990311152563333 21:-0.011038509767859354 22:0.029093465537058348 23:-0.0054400469208322685 24:0.0017132273059723407 25:0.031038906135430634 
