1.0 1:0.08079190770863501 2:-0.09102653277014217 3:-0.009752209043897998 4:0.0456819303150737 
1.0 1:-0.2620328135386775 2:0.10861212124354966 3:0.0015794629613001786 4:-0.033116284452450385 
-1.0 1:-0.24928697489466645 2:0.05569148890943528 3:0.10189978801751204 4:0.10633443495644314 
-1.0 1:0.01362122434786718 2:-0.2042917113230397 3:0.039574104887577705 4:-0.08349405781912436 
-1.0 1:-0.01687595086746889 2:-0.2235730955682635 3:0.12975552265478335 4:-0.014817312004079736 
1.0 1:0.1356983804803906 2:0.047028009746668466 3:-0.05273684171169296 4:0.09022924815265099 
1.0 1:0.2838357909376129 2:0.16250783052257473 3:0.0029478370456154715 4:0.060417898217682856 
1.0 1:0.3059673636619521 2:0.19380018268409344 3:0.0504922927167331 4:-0.1892042353480221 
-1.0 1:-0.062402083281919 2:-0.19063271617492694 3:0.1420087008131765 4:0.06867904185830237 
1.0 1:-0.038502019413363606 2:-0.16512276109672747 3:0.0365978909094102 4:0.10657986844182563 
-1.0 1:-0.06687096975944436 2:-0.2181894292572003 3:0.13667642047262246 4:0.04234499056483848 
1.0 1:-0.026805424271153327 2:-0.12737434344818513 3:-0.0011889088708696089 4:-0.00995816144065429 
1.0 1:-0.2769001580269518 2:0.12824642074375714 3:-0.05308140548641922 4:0.009434519440155243 
-1.0 1:-0.2573111054342997 2:0.12082268201402535 3:0.02964947709468701 4:0.03834335347393316 
1.0 1:-0.22666056343851737 2:0.008581074533395032 3:-0.03319737907829676 4:0.05688841732342129 
1.0 1:-0.20089465184238883 2:0.00893103228834384 3:-0.009788602380005234 4:0.023857560365334506 
1.0 1:0.13317287246834902 2:-0.16045640866753558 3:-0.09299437478279154 4:0.0010988759800611434 
1.0 1:0.017806935241016963 2:-0.12011113439175253 3:-0.00047486810060115396 4:-0.06168111545062143 
1.0 1:0.2864415044069044 2:0.19540175884153374 3:0.07443544876602386 4:-0.023500499207851355 
1.0 1:0.11960902107693676 2:-0.14781800946489176 3:-0.20691669748509173 4:0.16603975803081525 
1.0 1:-0.28434832136563337 2:0.08826098645452857 3:-0.07564309125398799 4:-0.0380356855194881 
-1.0 1:-0.0016347096556863332 2:-0.18565271627948834 3:0.10118040928311703 4:-0.012950782538780941 
1.0 1:0.3359928884127952 2:0.20140028648589925 3:0.04626313323082419 4:-0.08611063350237341 
1.0 1:0.11630069471778151 2:-0.16499844442290382 3:-0.12702067636737024 4:0.05426926831580947 
1.0 1:0.1576740328818056 2:0.03307016752442908 3:-0.09120889292206583 4:0.11355771188174954 
1.0 1:-0.2833235549466555 2:0.16664464181795108 3:-0.11442879945175863 4:-0.07089338548680413 
-1.0 1:0.24961261044681413 2:0.20963325957095033 3:0.05617713920345637 4:0.032324530184002616 
-1.0 1:-0.3729457153980885 2:0.17635706966179043 3:-0.08899727515196382 4:-0.027621257671358257 
-1.0 1:0.3202954872939052 2:0.1116246547349754 3:-0.06315799264713282 4:-0.08312775236220021 
-1.0 1:0.05305019525412717 2:-0.2550253005051611 3:-0.015657704190621388 4:-0.03995576540656254 
-1.0 1:-0.2367774822876608 2:0.08036825813480757 3:0.09520131717775486 4:0.06694536793454607 
1.0 1:-0.2663041381584022 2:0.08226094643820084 3:-0.03350776872427337 4:-0.052769761843759776 
1.0 1:-0.06219401071828613 2:-0.11742916000664558 3:0.06644097091308929 4:-0.008453829542108316 
-1.0 1:-0.14969791597325996 2:-0.10829930036258045 3:0.173253279454186 4:0.10128258567795022 
1.0 1:0.10007519548256018 2:-0.15658088606159087 3:-0.11511714702965531 4:0.09820099680998066 
-1.0 1:0.2885361452298713 2:0.21710522316189074 3:0.06538904424619973 4:-0.07229102089170253 
-1.0 1:0.2516060073457354 2:0.049232483570495936 3:-0.12693445261227299 4:0.12610133358474748 
-1.0 1:-0.28781438047842633 2:0.18873253200135376 3:-0.13794336020336873 4:-0.053434012557768834 
-1.0 1:0.06826400119778901 2:-0.16874502072258013 3:-0.02693349033221037 4:-0.06867618436911073 
-1.0 1:0.26791029641392683 2:0.059733242742329884 3:-0.11738070769351425 4:0.11907061037077588 
1.0 1:0.3464213287388627 2:0.18942061702688956 3:0.09724317180666935 4:-0.13330166900645637 
-1.0 1:-0.2029210885916405 2:-0.012236267775845813 3:0.14500876244096933 4:0.10917247315436034 
1.0 1:0.16748470104204577 2:-0.132700853950271 3:-0.1989281133891079 4:0.001626260783068377 
1.0 1:0.0031510988077502605 2:-0.1164522866644203 3:-0.09290721651738827 4:0.0032039747505556593 
1.0 1:-0.003194682547513688 2:-0.1582730773948228 3:-0.08795504474778304 4:0.10290689639569935 
-1.0 1:-0.3056594701382885 2:0.2032420270533251 3:-0.14105478269191685 4:-0.08087274200654666 
-1.0 1:-0.044172698757034196 2:-0.17442524144288202 3:0.07900564298824528 4:0.009039368187082654 
1.0 1:0.32637910552015725 2:0.21084950603208047 3:0.0838527079888797 4:0.0204387434006212 
