-1.0 1:0.022422897737224022 2:-0.2039837150535649 3:-0.09218346514312971 4:0.1602416556945594 5:-0.07979122619436264 6:-0.08355606228013819 7:-0.0018837523065150727 8:-0.03352993799063657 9:-0.0018864040664233628 10:0.07453342868713528 11:-0.04215917261562778 12:0.04937887640372747 13:-0.021722388650630108 14:-0.03769959866520379 15:0.01636300417528168 16:-0.010486739751254782 17:-0.02521967931352868 18:-0.026639252745589967 19:-0.0353331918090249 20:-0.035909325068616084 21:-0.014331937573909784 22:-0.008134592924219298 23:0.005127379811566229 24:0.015690602055789083 25:0.0027961945834753064 26:0.005985155251636251 27:-0.024382731078345016 28:-0.02394582688499589 29:0.012084330086331307 30:0.04237039457139126 31:0.0058507656417416 32:-0.0051903317552903444 33:0.008239108774733512 34:0.0030015304999782945 35:-0.004489099463605574 36:0.017420870410584037 37:0.005033675215053641 38:-0.0051317681716262185 39:-0.0024196487927829365 40:0.011022350157099244 41:0.005037940897016433 42:-0.0055134420695135645 43:0.00621649757882165 44:-0.0028389251853291825 45:-0.005052861428297247 
-1.0 1:-0.20987349165017968 2:0.009220691260805079 3:0.12551483791699491 4:0.057838872163539064 5:0.08210390040235854 6:-0.016587510057695362 7:-0.06176111851672861 8:0.02669964722171104 9:-0.05078546174323606 10:-0.01850257817548303 11:-0.0035044180555561036 12:0.020581453699615046 13:0.018487717338639287 14:0.007601846597712347 15:-0.010048544187746209 16:0.025207547188889488 17:-0.009110644880357371 18:0.011015393393840925 19:0.012624855308977178 20:-0.015405901076553909 21:-0.026111524380201097 22:-0.030376161458495206 23:0.010838395354833292 24:0.013730208074193864 25:0.003442638589200381 26:-0.006496626781266834 27:-0.017283254577230164 28:-5.971523535390835e-05 29:0.016573835424163477 30:-0.010907621122983394 31:0.033482449490623914 32:0.021623627519927715 33:-0.04210348060773199 34:-0.018699831502478677 35:-0.04015576382934469 36:-0.0032404801863127747 37:0.008605980681453893 38:-0.0031110655627207932 39:0.0009575131868686416 40:-0.0013750048883119821 41:0.0015127059169648006 42:-0.0029304625092400477 43:-0.0014079734337027333 44:0.010186068431637076 45:-0.012567656801935348 
1.0 1:0.2929702926998112 2:0.15763736445344 3:0.003737533580039056 4:0.07100131575616891 5:-0.015159676256958582 6:0.05560120768516346 7:-0.01886150042412148 8:-0.023068072333028208 9:0.007434608906855268 10:-0.035401226968139674 11:0.049573064486048965 12:0.022512527143370813 13:-0.030521979455326562 14:0.015042793029211066 15:0.005578744146630553 16:0.002350176389239125 17:0.010469782552365095 18:-0.03370069149010467 19:-0.006692599706809608 20:0.009755179270551854 21:-0.020399214359374272 22:-0.024909887753869927 23:0.02409198967178324 24:-0.010998141967759539 25:-0.0021472563339222546 26:-0.02230758951673499 27:0.033787974078139195 28:-0.022792088958247626 29:0.011269534766364872 30:-0.0010493236499698154 31:0.03412605229511344 32:-0.020871366652297305 33:0.001391494422615618 34:-0.00819206790283332 35:0.012933481023065414 36:-0.03810124758653814 37:0.028553903777487587 38:-0.012788687023070662 39:0.003496656887055291 40:0.007076805073323977 41:0.002598560269891181 42:-0.01573021993721645 43:0.0040299601896116415 44:0.012254499822266568 45:0.026680001586590604 
-1.0 1:-0.047521304666659714 2:-0.2414170336094271 3:0.19283320598174178 4:0.05128034820802008 5:-0.08051034322454614 6:0.07515415879537327 7:0.08377093172331578 8:-0.0005772643850544632 9:0.03427769635333568 10:0.016143868350663157 11:-0.04892433784313232 12:0.06109592913788608 13:-0.07007102548607291 14:0.0049256177688723965 15:-0.08171617109544801 16:0.002777519727820553 17:0.0016654994239686353 18:0.059272593872710055 19:0.032610253467309475 20:0.04201065087681855 21:0.04425857451989643 22:0.014883995792430766 23:-0.0048767233539043706 24:-0.0066904843138610144 25:0.04698822318341391 26:-0.012026608227520066 27:-0.007843233166344946 28:0.012111970674450879 29:0.03726823495967963 30:-0.012375690211155678 31:0.04082582360613862 32:0.018760072607146218 33:-0.012356515982089054 34:-0.010607801596780354 35:0.004411905850302409 36:-0.004071394134647879 37:-0.0267693530014236 38:0.0016283496773185444 39:0.017308777408041504 40:-0.034551844682711386 41:-0.00438484045332364 42:0.01096148247640378 43:-0.007794671902689352 44:0.022411897258526783 45:-0.008023934892082625 
1.0 1:0.06241369208759692 2:-0.0955767694943871 3:-0.13308879223917097 4:0.1608158693863899 5:0.036817434647921185 6:0.02110925516022538 7:0.09983013891576746 8:0.0524984475729543 9:0.008545812191454548 10:0.0473726574496244 11:-0.008954365206380781 12:-0.032145519404750675 13:0.03942228332709791 14:-0.029526584229931666 15:-0.013239091238714518 16:0.0035051681255514784 17:-0.04283718275787408 18:0.028998562806300997 19:0.02179204392019903 20:0.007983117804294235 21:0.029321947403850405 22:0.016958338237208208 23:-0.004865450128363832 24:-0.03796548287611048 25:-0.005707166811152813 26:-0.01681820597115503 27:-0.0023302874946032476 28:0.016462005117563152 29:0.020615259645885238 30:0.002983331043171507 31:-0.005309182554256029 32:0.00777937754458685 33:0.010463055657868078 34:0.016682183743292618 35:-0.0017332521069116733 36:0.018519785785138757 37:0.01060302953794697 38:-0.019140678280238244 39:0.016523558468956482 40:-0.0059285395051305945 41:0.015161900913441793 42:-0.010641670039173209 43:-0.002090288516866788 44:-0.011034161046612676 45:-0.0032792953174242134 
1.0 1:0.2487537970311829 2:0.1329924957270003 3:0.08098962717022486 4:-0.25887990290718654 5:0.025899530352869737 6:-0.17077380194406405 7:0.05182760371620923 8:0.12787191457074382 9:0.08468044426402854 10:0.025545048302876724 11:-0.06053477699599181 12:0.03647234873060698 13:0.01681634350069165 14:0.042444223183049995 15:0.07939490342561711 16:0.03868578992239862 17:-0.07175896014089843 18:0.038197416259026784 19:-0.021592747377679272 20:0.024879437177416145 21:0.05957843147208485 22:0.009111014038237046 23:-0.032527011383057275 24:0.04648395810476545 25:-0.01662809526516965 26:-0.0016371603398516138 27:-0.015718461199676327 28:0.010885272276732692 29:-0.00020217740423094516 30:-0.007157376441453756 31:-0.011121900329869469 32:0.003984450784944455 33:0.005123013746840646 34:0.0009142788944067944 35:0.002376614387348565 36:0.004213964044166983 37:0.014629271537232029 38:-0.022999067676526992 39:0.017865671499099955 40:-0.010464317880551162 41:0.008089952330233158 42:-0.017723568363502407 43:-0.006972139026300457 44:0.017492282570819816 45:0.02787234837296566 
-1.0 1:-0.004628605148053265 2:-0.17631298959781377 3:0.1193822171660118 4:-0.00550793373996049 5:-0.036287189072202276 6:0.032574039718079865 7:-0.0739435965582031 8:0.0447724500605408 9:0.004764353609018354 10:0.025193590893460266 11:0.03435676320538569 12:-0.0530338710849656 13:0.010161979841360276 14:0.021975024084903323 15:0.020277153455686855 16:-0.030416308085401772 17:-0.00247404581729924 18:-0.026258578539904966 19:-0.0033528443953118985 20:0.007709903893997089 21:0.016212242449144047 22:0.019456768673467448 23:0.006469996315650078 24:-0.002846671714619637 25:0.019391302975270273 26:0.03246765688982664 27:0.011813950127742043 28:-0.00992253321311239 29:-0.00018362625167783926 30:-0.0096692835431431 31:-0.00022883304850797488 32:0.0012198030385852337 33:-0.012216512151798637 34:-0.004701791782279677 35:-0.013528123691975069 36:-0.007251053592414398 37:0.0018002227691999886 38:-0.005906982606680931 39:0.0003599060874504073 40:0.00254748525667536 41:-0.0029824248536744064 42:0.00046798765535295767 43:0.003512615972566969 44:0.0015046234280767772 45:-0.009051674532939372 
-1.0 1:-0.2279166781446817 2:0.05049245540238437 3:0.15297926122591662 4:0.10700973416592767 5:0.1834955829752824 6:0.021377458983266075 7:0.11571595679678683 8:0.008968269877317355 9:-0.04929424090223539 10:-0.03639695975576171 11:-0.04088983959152423 12:0.0317207957953072 13:-0.018934541379420244 14:-0.04894970188344241 15:0.0083007599796704 16:-0.04458243086180498 17:-0.029862485955515286 18:0.028609768020118574 19:0.018714047223788655 20:0.010253461569899272 21:0.006244853919820053 22:0.011150270753468396 23:0.0003117574085310984 24:0.004002939894778835 25:0.0004704919950709093 26:-0.000510141829507274 27:0.016009442702363822 28:0.009062294975027616 29:-0.02428865481967999 30:0.004109600565132782 31:-0.0008633423153649247 32:-0.0048962929669591464 33:-0.0038358436134809312 34:0.016210910518232455 35:0.0285893631110642 36:0.0028436677619221896 37:0.010476278974525681 38:0.01244510369878732 39:-0.01176036542919228 40:-0.0005865636562989995 41:-0.009323627027154745 42:0.003772559960760752 43:-0.013308133483124053 44:-0.004425101582949971 45:0.006760656494811529 
1.0 1:0.02933943659363119 2:-0.1180849513199187 3:-0.14597489995836788 4:0.12719992218197906 5:0.007775680708488495 6:0.009704392040699308 7:0.10291808686172797 8:0.03587998951525396 9:-0.013201082680437992 10:0.05859801254980074 11:0.014744755308282105 12:-0.012603505830651254 13:0.061262856075398435 14:-0.022588399483310234 15:-0.0011739064169122657 16:0.009626369947729023 17:-0.03165728975914772 18:0.014725726848501914 19:0.009964031944675378 20:-0.011903773668572296 21:0.01990267275520462 22:0.012135414095753446 23:-0.006236306085173878 24:-0.028537102690142358 25:-0.0030676938816128485 26:-0.01290023884159547 27:0.0032026174703008257 28:0.017442112588894484 29:0.01393178224389474 30:0.007117258777145549 31:-0.02047880969048673 32:-0.011840437399493206 33:-0.003865955103097774 34:-0.0006995847435051945 35:0.003320051551903934 36:0.01160267224381806 37:-0.005231331490476419 38:-0.020300688051721916 39:0.016738117574317157 40:0.00023700212956389525 41:0.016506124474266116 42:-0.010807725161839268 43:-0.0017583125860872063 44:-0.01400372158042288 45:-0.013309505724323508 
1.0 1:-0.05904331072656623 2:-0.15023758689683772 3:0.015280785476924089 4:0.16065124029288305 5:-0.019677092920737466 6:-0.019395766414427876 7:0.11471502755261324 8:-0.031062926042408803 9:0.006441834988236554 10:0.017600492048278644 11:-0.018913350369391263 12:0.01640338359517836 13:0.016690505122389163 14:-0.018756464097892292 15:-0.01540253531892472 16:-0.013275278893762687 17:-0.06121536998066026 18:0.029181346188949846 19:-0.009071310570592225 20:-0.018191761825859895 21:-0.010145502542568546 22:0.024418322156553256 23:-0.00672778455690802 24:-0.009313093842408747 25:-0.03284688420612661 26:-0.0004965991355908254 27:-0.01968230977812316 28:0.009439256393307336 29:-0.003432483645362753 30:-0.030420786763328586 31:-0.007354362451914288 32:-0.001291874221530361 33:0.022696209979216536 34:-0.009448543444686664 35:-0.007949408241451832 36:-0.019561989698798042 37:-0.0010537387835198656 38:0.01274817757333524 39:-0.013422390467748962 40:-0.022816143802532503 41:0.0014518050836053052 42:-0.010402334574988013 43:-0.007995953338841946 44:-0.00836714361559912 45:-0.005472158973545613 
