-1.0 1:0.04495345472794257 2:-0.23605996297109272 3:0.11965087298994086 4:-0.024961518619416704 5:-0.0025968838441420214 6:0.07591268698932753 7:0.05586026950274102 8:0.027672807928568594 9:0.02899304498437126 10:0.012792109171087425 11:0.01598597081724647 12:-0.06418759687101752 13:-0.011550687717920755 14:0.015623926812025275 15:0.013395435037809869 16:-0.024295908408194466 17:0.005770003807525757 18:0.01214234999907705 19:0.016544479185388605 20:0.004384989162539082 21:0.0145805040651855 22:0.022764837304507554 23:0.001995534908401375 24:-0.001496088012436855 25:0.005068742637215235 26:0.012783889266553723 27:-0.0015943921107627115 28:-0.009573630745409517 29:-0.00742235772800306 30:-0.002477977385958882 31:-0.011642758992502738 32:0.00043900404492233126 33:-0.006551064107040142 34:0.004215163859540292 35:-0.012505144147933113 36:-0.003888874304062444 37:-0.008860917018708656 38:-0.014314816609774144 39:-0.000756302386389511 40:-0.001267919872360265 41:0.0031039284833460005 42:0.0014924785087474428 43:-0.00016339089993562105 44:0.002749917362248451 45:-0.0028701489825222262 46:-0.005356915637907288 47:-0.005196119077879797 48:-0.009686438963282421 49:0.001880358120558782 50:-0.008434586030041252 51:0.007999256518441173 52:-0.009756209725343358 53:-0.002342128734132417 54:0.0034311681943300716 55:0.010227084211949178 56:0.002367757465450421 57:-0.0048105667799855124 58:-0.005415915564158451 59:-0.001219483401927787 60:-0.00777148099418991 61:-0.0073062119944511065 62:-0.009230945743536835 63:-0.0010982282619040147 64:-0.006807720600719239 
1.0 1:0.3121368193836896 2:0.2136067905064823 3:0.07443958678816577 4:0.011409530526565455 5:-0.063437597102798 6:0.026553813920847245 7:-0.005731917424501387 8:-0.09395746611421092 9:-0.05286434770897634 10:0.007575202207138521 11:0.012408106725528376 12:0.010010048286693864 13:-0.006782183627434234 14:0.023095068397427743 15:0.03624244027211742 16:-0.0037221604280258374 17:0.003397317441480044 18:0.012508665800992932 19:-0.010936918663945505 20:0.04158349237970998 21:-0.03756810014527296 22:-0.011470093129116735 23:0.0068327548343624644 24:-0.011082022365141709 25:0.009170267047053943 26:0.00592517958950823 27:-0.003450524806487473 28:0.01030233939077707 29:0.008323541130588856 30:0.010794520039699511 31:-0.0018087148837032537 32:0.0028345185287273604 33:-0.0029826541377358726 34:0.0038410627222434674 35:0.0011448239485286216 36:-0.007269598069448649 37:0.016009146524906825 38:0.00038829265395208534 39:0.006370488517390967 40:0.0005735846617492806 41:-0.010478695781467838 42:-0.00900832790554372 43:0.0011554228674917205 44:0.0027852777011147436 45:0.011190035526966048 46:-0.014552778890395142 47:0.010354222776206587 48:-0.006922009664173487 49:-0.009025457411947697 50:0.005083727994612578 51:-0.010537240177644704 52:0.005279015920809482 53:-0.0002102522387368716 54:0.013208286252684017 55:0.01276154244186465 56:0.0018082916846857743 57:-0.00036517036045574484 58:-0.008867930187303627 59:0.004611917123337867 60:0.0008354200871457445 61:-0.016725388394397273 62:0.007691803234194753 63:-0.002484933910362701 64:-0.004490027044189854 
1.0 1:0.24331821966218506 2:0.10900604928900007 3:0.06904610538856418 4:0.017479085000731576 5:-0.030529386588025384 6:-0.15078416962845057 7:0.10990585987236984 8:0.09452026300945335 9:0.04755695452060385 10:-0.0054000294967595595 11:-0.0014214233639188306 12:-0.004468186424068259 13:0.016406305527671725 14:-0.02368776962565982 15:-0.049724017749957425 16:-0.04207225512274577 17:0.05583006115598655 18:-0.006000736442711765 19:0.029131952741128384 20:-0.018643729000425158 21:-0.05298876221087628 22:-0.006382709498942062 23:0.01805558562771884 24:-0.05547507550702705 25:0.01399746343090712 26:-0.0029728072221823915 27:0.005825905269055975 28:-0.011021777837883868 29:-0.00685802081594937 30:0.0036537157755095 31:-0.0032423012777749866 32:0.01556211168734389 33:0.00025006592806005654 34:-0.010575085206294146 35:0.009709680591091542 36:-0.002447695165193442 37:0.005333985024853407 38:-0.013623402756629654 39:0.0027881350497934495 40:0.013462394468302948 41:-0.0036266919956492796 42:0.009032936380971756 43:0.004477438450460208 44:-0.0016631845094248398 45:0.006042241922786861 46:-0.0004849036616995511 47:0.005972137972901595 48:-0.01413517353407475 49:0.039683129461078305 50:0.001600158792649741 51:-0.0021163754402594146 52:0.011595919566553009 53:-0.004789006896088223 54:0.000855899459621173 55:-0.00046467933114698653 56:0.003996012642755514 57:0.007626803325223953 58:0.0012294238443287305 59:-0.0004099724377961411 60:-5.9455101049238346e-05 61:-0.0043435268108826565 62:0.001831838576274421 63:-0.0029756852170050767 64:-0.004124173934506994 
1.0 1:0.036306145606815304 2:-0.10511477793426822 3:-0.11016108348274901 4:-0.05471156630616804 5:0.027328960419732526 6:-0.006435877624959167 7:-0.0035068800553003637 8:0.011734300273214855 9:-0.036001093107449166 10:0.026918030063121576 11:0.03790534979472153 12:0.016140915859368932 13:0.06561372607518673 14:0.0014800913573459092 15:0.00937281412939273 16:-0.007276805421269621 17:-0.019360628643503616 18:-0.012654951841809554 19:0.011146907651283351 20:-0.006396296057395604 21:-0.0005580243177374933 22:-0.004364321422867249 23:0.005877671737956431 24:-0.016896737320366194 25:-0.008021447810416608 26:-0.012601620657938349 27:0.014543249984133973 28:0.016854083480989747 29:0.011555380334623184 30:-0.0029976502755894568 31:-0.02961744969723907 32:-0.015533127303287661 33:-0.012602904815298483 34:-0.010217822161482582 35:0.0017362332771197354 36:0.0020649803963986 37:-0.005881719428106148 38:-0.018413620451082094 39:0.012636020125043751 40:-0.013294557081515754 41:0.0061211363631454305 42:7.39796710874192e-05 43:-0.005400610165850991 44:-0.006724142276801153 45:-0.011734329963578647 46:-0.012588830906338146 47:0.004027824437539366 48:0.0035171906700991688 49:-0.007285110373974168 50:-0.0004909222648568669 51:-0.0015658236981622423 52:0.006305647020377036 53:0.00534050926401939 54:-0.0003517495331999735 55:0.006536586825520654 56:-3.0508369853406853e-05 57:0.00885750005394204 58:0.0015528199512204227 59:-0.007821189321156734 60:0.0029232046495792393 61:0.005570135645243242 62:0.007678807932795086 63:0.0007383228833439434 64:0.006877241852460361 
1.0 1:-0.081413818005951 2:-0.12531946991475879 3:0.12381839824169945 4:0.04721086221681306 5:0.004015682032779235 6:0.03778518394269103 7:0.04014349862180371 8:-0.005042896307123254 9:0.03221460694051933 10:0.01908243294492658 11:-0.0025684604038149874 12:-0.0023932169399828226 13:-0.009050903889474467 14:-0.03000168262746647 15:0.01531244027386005 16:-0.0028281459347988345 17:0.018798371992257885 18:-0.0033221139884118574 19:-0.0016720388366469187 20:0.003568928333588363 21:-0.0002047902159325616 22:-0.0017315876771322302 23:-0.002727438188579182 24:0.007785044332673804 25:-0.002206873093641386 26:-0.022493576668796617 27:-0.0006973026700428358 28:0.013647177230025813 29:-0.014570896043392637 30:-0.013331797916684367 31:0.005543638756917597 32:0.015563308433912515 33:0.005524610289202427 34:-0.0020627151403201285 35:-0.0016531824027868416 36:0.0029389440640365415 37:-0.013250105075746619 38:-0.006674582558647056 39:0.0038297849752734923 40:0.010613060520077853 41:0.015421570405354986 42:-0.013463986337106344 43:0.012342044741156818 44:-0.006046825739781931 45:-0.01018370247653444 46:-0.006278073496459217 47:0.01105565971728433 48:0.007055781143060833 49:-0.00027587943248445594 50:0.00042207034208495333 51:0.007152678773103756 52:-0.0018126350146471393 53:0.009473296414035309 54:0.009581297703786837 55:-0.007822383764291858 56:0.004136380556137895 57:0.0007381604261834742 58:0.0026678690662371198 59:-0.005305951712268742 60:-0.0015795517406106147 61:-0.002279216671673589 62:-0.009044648262913254 63:-0.004185864914519951 64:0.0011629857559233864 
-1.0 1:-0.09136036019587664 2:-0.17013328186791754 3:0.22819947046507527 4:0.10218659502471797 5:-0.08264907942420588 6:0.07286246064663185 7:-0.06739793395143587 8:0.11806047976461564 9:0.005864999051959419 10:0.12454232411216122 11:0.05136226647116144 12:-0.06759631613716005 13:-0.004413380775319092 14:0.04864719916945789 15:0.016003391825341967 16:-0.06845527257064919 17:-0.008126678027755862 18:-0.05126431203395723 19:-0.02720173948222303 20:0.01542613485834594 21:0.04920608433273676 22:0.030591482935021813 23:0.010202565918466446 24:-0.02507455659184386 25:0.01688651216726621 26:0.07122950062441463 27:0.020523333248213652 28:-0.006596382798436079 29:0.006687689831914203 30:-0.022855021690243955 31:-0.01101588371957471 32:-0.016981322308946875 33:0.0022799089864648913 34:-0.02198518911765126 35:-0.01394856830920035 36:0.003563984957511323 37:0.035293918594980704 38:0.027128069331405942 39:0.0034087758155656716 40:0.019225524514367553 41:0.004543277130626435 42:0.0015257941712849 43:-0.0038463288175950485 44:0.004158084796848184 45:-0.013990270028332958 46:0.028972114565185086 47:0.012160888966470013 48:-0.018420159966520425 49:-0.007396676347896779 50:0.013285939732344128 51:0.007632326363743971 52:0.009908478153029622 53:-0.001667701870851697 54:0.0038606476950729714 55:0.0016827348269297954 56:-0.03210119133893181 57:0.005077220219066071 58:-0.010320246819989122 59:0.012020220898722322 60:0.01719927572857444 61:0.004228217953207091 62:-0.008447707786422976 63:-0.008357605161919274 64:0.009182886454614009 
1.0 1:0.1913805426798158 2:-0.07742699476988534 3:-0.05711404114938084 4:-0.012457968961161608 5:0.09778782950177901 6:0.09612090026305437 7:-0.0002050416457089893 8:0.020871358265408188 9:0.012800660790763687 10:-0.010271546071399639 11:-0.011804381019265382 12:-0.06511790688991362 13:0.05479466687267655 14:-0.009639900692817675 15:-0.016115424306672434 16:-0.020028966643713154 17:-0.04447682228079465 18:-0.018150722423260345 19:-0.04381254184686897 20:0.04572316696162887 21:0.0031119057068607035 22:-0.03924355032392533 23:-0.039693440183602165 24:-0.0059071422657479035 25:-0.0017480007832093476 26:-0.034084247516409864 27:0.012876486542514666 28:-0.005785139666672139 29:0.048453456476100006 30:-0.005540922498404591 31:0.014087521458242469 32:0.03813240690884912 33:0.018348947570487745 34:0.0035802793110255933 35:0.020367442109483234 36:-0.01916098635470525 37:0.02027575343401412 38:-0.00911282765281605 39:0.005602503837729773 40:0.015551999409532849 41:0.010945451814430272 42:0.033818608345208424 43:-0.02361501033621522 44:-0.016289205498477486 45:-0.0016453922578773105 46:-0.0032951006063576607 47:-0.012021454581182135 48:-0.0014723386363722935 49:-0.002155647426163105 50:0.013291687867118086 51:0.0012713476547858774 52:-0.001340087081770129 53:-0.010912399052610773 54:0.002085567863103261 55:-0.007538843187007441 56:0.0025637578358160013 57:-0.022100476346894236 58:0.007346672177121944 59:-0.00617274538374744 60:0.009364013321305664 61:0.008301188485141225 62:-0.0037865156068162655 63:0.013533725884586043 64:0.0016803120191301677 
-1.0 1:0.07937875834897856 2:-0.22277726665775432 3:-0.06944133932946249 4:-0.04525813625763031 5:-0.0403861945330481 6:-0.05624899316642487 7:-0.04657272017437847 8:-0.06547611569102164 9:0.0019336656408696917 10:0.03086901790736791 11:-0.026338626493460315 12:0.067674587793995 13:-0.03970582340538804 14:-0.041001856429687164 15:-0.0016899001948827187 16:-0.02406266642662197 17:0.005166595680847357 18:0.005749096978187599 19:0.013849405364883893 20:0.004851305380899666 21:0.0027714616710243327 22:0.024112926953105185 23:-0.015663463965498024 24:0.020794452676506155 25:0.02987583797410891 26:0.0024358343098122336 27:-0.019594288560693257 28:-0.023400919986169964 29:0.01577227463795193 30:0.006314752641149803 31:0.014388427210959629 32:-0.0048748204187554454 33:-0.006649048399541148 34:-0.012041496256752512 35:-0.007504787101039916 36:0.013242284952626561 37:0.0027992051192679297 38:0.0041825806343185785 39:0.013035818519878214 40:0.00975220132021527 41:0.0058571340140926 42:0.006822332605009749 43:0.0066480926433159695 44:0.010637237707427208 45:0.005844561356838737 46:-0.004448561791896677 47:0.005570847093876162 48:0.0038158942328058096 49:0.0007621924442960948 50:-0.005807147098032147 51:0.007565186054491696 52:0.0006141643994572697 53:-0.00018537703969737085 54:-0.000467276869766671 55:-0.005155831514689603 56:0.011053324998009198 57:-0.0011847376347610614 58:-0.0018093517349461494 59:0.006734741012674305 60:0.003995725324299173 61:-0.004939857109835513 62:-0.0030515932821306418 63:0.0033777610601171413 64:0.0044297627479653505 
-1.0 1:0.038407685762589676 2:-0.19815098955261806 3:-0.02927332297827327 4:0.004960249770196872 5:-0.04679815222413474 6:-0.050441561972954206 7:-0.07002512672458723 8:-0.020187050117503463 9:-0.02039401984505127 10:0.03955118189942878 11:-0.010986069215131518 12:0.03752565564779257 13:-0.018661842945249942 14:-0.007691163003969504 15:-0.0005902011249481328 16:-0.005983370408991138 17:0.003936939185299054 18:-0.001727040633447672 19:0.004610566046482297 20:-0.005369217640725761 21:-0.0031730737810128553 22:0.01672114197292734 23:-0.01121378173023583 24:0.011953833303455532 25:0.006719593662833292 26:0.0073077409137695115 27:-0.02101710443047939 28:-0.017942461407410223 29:0.016161793581889364 30:0.014482808288315488 31:0.004504927992419267 32:-0.010567526897209332 33:0.0039208583632944945 34:-0.0040901177388113176 35:0.0007503127561788296 36:0.00425531934244941 37:0.0002212645008246323 38:0.004551726624107057 39:-0.0024080185899145855 40:0.00611774609004587 41:0.0017286237172234788 42:-0.0004353635521234852 43:0.003491184409533672 44:0.007785678863960571 45:0.009195734113698985 46:-0.00163706717060552 47:-0.00045795449235486695 48:0.0021855236563504687 49:0.0035809961798812413 50:0.0012599377914468985 51:0.0002847440093255889 52:-0.00992880843212413 53:-0.0022754676543898875 54:-0.0005053544672364539 55:-8.679304447797116e-05 56:0.004455371454930774 57:-0.0032404065036452587 58:-0.007407129941349688 59:0.0031984068791478474 60:-0.00014306533494462537 61:0.0008286712657353647 62:0.00014309074005656747 63:0.0004819466674801619 64:-0.0008828611100142984 
1.0 1:-0.2824949557120187 2:0.14718127194944927 3:0.005008084545726356 4:-0.007731150542204029 5:0.15423544993071708 6:-0.07380801816035157 7:-0.04184623052269622 8:-0.08682044006742305 9:0.027427903198980003 10:-0.010727756047556079 11:0.015792696706779345 12:-0.0005621760905617501 13:-0.002630585242443237 14:-0.003569336496466742 15:0.007407850931092735 16:-0.003597619668781197 17:0.03878135269670049 18:0.0054754510916602325 19:0.01166068776572033 20:0.007561499545884734 21:0.03192265283860943 22:-0.035658790038317685 23:0.019724220187018655 24:-0.0033106625467467154 25:-0.013408073253728274 26:0.03551199613241689 27:-0.009048403251763629 28:-0.01768444056290269 29:0.021491860485690673 30:-0.004398749311964777 31:0.001401651383300586 32:-0.0004702242260101923 33:0.018947507310433348 34:0.007023675217785915 35:-0.00983538197922984 36:0.008624295534282006 37:0.023657938187487765 38:-0.008699144082885068 39:-0.003954773884775824 40:-0.008608311539852618 41:-0.011135075222291763 42:0.0017434876095118752 43:0.006592145955346868 44:0.0016069759358334993 45:-0.006322094734979885 46:-0.006644382122812256 47:-0.006272184449371072 48:-0.012892536647983243 49:0.0008735339669736553 50:-0.012510577449202032 51:-0.0030048769583543833 52:-0.006263478084902326 53:-0.01581759241113655 54:-0.009637843197618273 55:-0.00013456048112666166 56:0.0006097226987112972 57:0.004698868340394853 58:-0.0027079693859552193 59:-0.000762749145565554 60:0.014950620790915721 61:0.0038200161669043635 62:-0.0009035334546346188 63:0.0037592627172040546 64:-0.007491184462071462 
