-1.0 1:-0.29566695043460184 2:0.10645632806768353 3:0.0434098367583566 4:0.13696557277349444 5:0.12165500809962947 6:-0.038189263743160666 7:0.07893593349161422 
-1.0 1:-0.28316767432343937 2:0.09234518325920843 3:-0.03485161644418638 4:-0.056322828642157284 5:-0.0711356822963567 6:0.0642199627997224 7:0.06573445420777274 
1.0 1:-0.2842017731448094 2:0.12974459770143326 3:-0.06750317161351685 4:0.018183839877765888 5:0.02085982837984192 6:-0.061228118060999585 7:-0.019115870099646753 
1.0 1:0.2528536620411538 2:0.11418307529069478 3:0.06977126677580255 4:-0.04614741841807615 5:-0.013012013839935076 6:-0.1447793726876777 7:0.09423093293219115 
-1.0 1:-0.2685890326879884 2:0.009518602098597968 3:-0.1323446279999792 4:-0.1000794677312039 5:-0.15689471281468167 6:0.04453562910387074 7:-0.009791903440882876 
1.0 1:0.32305853043864335 2:0.17456792976278857 3:0.016712782365388524 4:-0.05225458456706748 5:0.006636428324634715 6:0.06407665613888791 7:-0.013863668824196457 
1.0 1:-0.30586790105831946 2:0.08441465224579471 3:0.029232041080277514 4:0.022610003092470736 5:0.020824153890697344 6:0.024010790914131375 7:0.04888270284254581 
1.0 1:-0.2981209397138491 2:0.06081145392640845 3:0.02933688357921801 4:-0.004592560587799249 5:-0.016939956441849202 6:0.026913482405670756 7:0.006355883996259026 
-1.0 1:0.006851448660966793 2:-0.24976754061405376 3:-0.07015269516440871 4:0.12494167678331058 5:-0.08725400932687932 6:-0.08351654990232811 7:0.03270221939270679 
-1.0 1:-0.1281598523225487 2:-0.18410077783633466 3:0.11268362769396842 4:0.09030824914361611 5:-0.13003525694106027 6:-0.029761631110914084 7:-0.1170362245604728 
1.0 1:0.1095141071874727 2:-0.057340391061951046 3:-0.12612989536125468 4:-0.03507495560200044 5:0.0833270795180565 6:0.006487753012639697 7:-0.051877232752626734 
1.0 1:0.3590198518101593 2:0.24069162809281025 3:0.09050153728512207 4:-0.18523297872888975 5:-0.026973644620164678 6:0.061158324985602155 7:-0.010920379226563796 
